module	Origin	8MPa	15MPa	30MPa	8MPaII	15MPaII	30MPaII
M00120	946.7488465040001	948.2116017329998	915.257547791	949.9853700790002	944.8004339069998	935.5326580800003	919.7752129960002
M00121	2473.592196311001	2499.933521366	2246.964559654001	2372.7239514579996	2319.668295268	2663.686842714	2462.5778330130006
M00122	1123.9844994339999	1186.8861503350001	1072.660317762	1048.989059054	1007.2956404089999	1022.704159848	949.5574445629998
M00123	680.715106698	571.183330996	512.0373582100001	562.9563932320002	546.7714804240002	706.8192905559999	704.2417070309999
M00124	509.0082632299999	625.3664729579999	501.79379604699994	616.984022033	589.626626115	918.0722912960003	807.36247817
M00125	816.168622505	980.9164459129997	916.8906953950001	964.2155066330001	946.410391211	886.5963264389999	912.5130578600001
M00126	1752.0673915379996	1809.4279843000006	1645.1267094199998	1796.797769487	1817.638345168	2135.686548781	2050.3373028439996
M00127	298.65485656399994	270.367570679	343.24861680899994	330.4909527430001	333.5303831709999	300.4594168440001	324.520175312
M00128	23.973843998000003	46.879998739	43.130118335	61.692848746	60.088445768999996	120.16544849400002	112.862830845
M00129	441.142637973	585.3073048020001	544.9780051750002	575.0947791540002	575.3327905459997	589.5580474990002	608.4071800600001
M00130	0.0	0.0	0.146545237	0.070120838	0.0	0.0	0.07923524700000001
M00131	288.0921185499999	376.641016256	327.6807930640002	350.5593926269997	335.40846815799995	407.7191752429997	356.4970258290004
M00133	164.28117050400004	275.519207422	313.2381644139999	307.72572423900004	320.792988174	314.31829407500004	337.882002307
M00134	174.79674114500003	123.67840654099997	103.60445634100004	128.76778280899998	118.73225743100001	169.25677901900002	150.31369222200007
M00135	139.28492779299995	283.20941013799995	281.65531486300006	328.48566277999987	359.626772372	482.035564448	570.1714533730003
M00136	198.266165568	247.13379597600002	183.04597136999993	198.20120976000004	187.40838112500003	279.05433396700005	280.98895042899994
M00137	0.231711479	0.923252124	0.49953708399999996	1.2347428599999999	0.862294608	1.2634425550000001	0.389702439
M00140	530.24753654	577.7605495620003	562.2699635260001	569.9041724459996	574.9252131030003	580.6945296759997	582.9734157740002
